27902504,reflexmini,0,0,0,0,,,,,
20446159,comp,0,0,0,0,20394708,1,,,
21871430,barlong,0,0,0,0,,,,,
28989490,laserads,0,0,0,0,30481531,1,,,
24449465,gripvert,0,0,0,0,26865539,3,,,
19519345,reflex,0,0,0,0,,,,,
29301638,xmags,0,0,0,0,26865539,1,30481531,2,
25070404,pistolgrip03,0,0,0,0,,,,,
24826208,stockl,0,0,0,0,,,,,
20511159,silencer3,0,0,0,0,,,,,
24674353,holo2,0,0,0,0,,,,,
19619813,barshort,0,0,0,0,26865539,1,,,
22312171,laser,0,0,0,0,,,,,
26130025,gripangpro,0,0,0,0,32277672,1,,,
27671122,fastmags,0,0,0,0,,,,,
20200695,acog,0,0,0,0,,,,,
18478187,pistolgrip05,0,0,0,0,,,,,
31801969,stocks,0,0,0,0,26865539,1,,,
31207196,silencer,0,0,0,0,,,,,
18364677,barmid,0,0,0,0,20394708,1,,,
28041237,reflexmini2,0,0,0,0,,,,,
23544037,lasermix,0,0,0,0,29578950,1,,,
23636247,pistolgrip04,0,0,0,0,,,,,
19981046,smags,0,0,0,0,,,,,
24751560,pistolgrip01,0,0,0,0,,,,,
25746264,reflex2,0,0,0,0,,,,,
28607826,stockfold,0,0,0,0,,,,,
26900003,linearbrake,0,0,0,0,26865539,1,,,
26006885,barcust,0,0,0,0,,,,,
21415525,laserrange,0,0,0,0,32277672,1,,,
29150311,reflexmini3,0,0,0,0,32277672,1,,,
28129790,gripang,0,0,0,0,30481531,2,,,
25059709,xmagslrg,0,0,0,0,29578950,1,,,
28859240,pistolgrip02,0,0,0,0,,,,,
29881956,stockno,0,0,0,0,20394708,1,,,
27957058,reflex3,0,0,0,0,,,,,
20624997,silencer4,0,0,0,0,,,,,
32417653,barcust3,0,0,0,0,,,,,
23283174,laserbalanced,0,0,0,0,,,,,
31478017,gripvertpro,0,0,0,0,20394708,1,,,
21777462,holo,0,0,0,0,30481531,3,,,
20203504,fastmags2,0,0,0,0,32277672,1,20394708,2,
20027827,gripcust,0,0,0,0,,,,,
28958249,stockh,0,0,0,0,29578950,1,,,
22696868,silencer2,0,0,0,0,32277672,1,,,
29776948,reflex4,0,0,0,0,29578950,1,,,
24960659,barcust2,0,0,0,0,,,,,
31434408,lasermix2,0,0,0,0,,,,,
20156581,gripcust2,0,0,0,0,29578950,2,,,
21323733,smags2,0,0,0,0,,,,,
24455208,acog2,0,0,0,0,,,,,
31864508,pistolgrip06,0,0,0,0,,,,,
28752673,stockcust,0,0,0,0,30481531,1,,,
20138605,vzscope,0,0,0,0,,,,,
